时间,姓名,内容,阅读,评论,,,,,
2021/5/19 15:30,牛诸仙,极米科技：一个组装公司！芯片叉住脖子了,267,0,,,,,
2021/5/19 14:55,兵贵胜不贵久,心记超级高价股再次抱团取暖不要相信太多,365,1,,,,,
2021/5/19 14:32,馥比仙,看来要清了，好不容易昨天微赚，今天又跌了，算了，走,238,0,,,,,
2021/5/19 13:56,股友K6p2Lr,回踩完该上一下了。,176,0,,,,,
2021/5/19 9:56,股友270w1n8131,开盘不是那么多人等300多吗？现在怎样？,187,0,,,,,
2021/5/19 9:19,飞驰的小阳阳,这个量能是不可能大涨了。。害怕,283,2,,,,,
2021/5/19 8:00,极米科技资讯,极米科技：连续5日融资净偿还累计3235.28万元（05-18,349,0,,,,,
2021/5/19 1:38,板一字,极米天猫旗舰店截图，你解读一下,506,1,,,,,
2021/5/18 21:48,鞭打蜗牛,没有最高，只有更高！～～,178,0,,,,,
2021/5/18 19:49,股友mfnkhlshd,极米科技收盘740元/股，创上市以来新高！创收盘价新高,414,0,,,,,
2021/5/18 18:57,佐罗大黑马,组合二：$中望软件(SH688083)$+$极米科技(SH688696)$,314,0,,,,,
2021/5/18 15:12,极米科技资讯,极米科技2020年度10派16元,1024,7,,,,,
2021/5/18 14:01,企查查财经,极米科技注册资本增至5000万元，百度为第二大股东,4053,0,,,,,
2021/5/18 13:32,天山的天,终于盈利了,279,0,,,,,
2021/5/18 10:32,佐罗大黑马,组合二：$极米科技(SH688696)$+$中望软件(SH688083)$,482,1,,,,,
2021/5/18 7:58,极米科技资讯,极米科技：连续4日融资净偿还累计3012.15万元（05-17,408,0,,,,,
2021/5/18 4:34,maxiaohong888,这一看就是控盘，筹码集中，市值管理，和价值不着边际,538,4,,,,,
2021/5/17 21:51,中国杀马特之首,你好，董秘，请问从技术层面公司是否于极米科技有差距,657,1,,,,,
2021/5/17 20:06,股吧榜姐,2020年年报盈利榜：视听器材行业,5789,3,,,,,
2021/5/17 19:46,股吧榜姐,2021年一季报盈利榜：视听器材行业,5438,2,,,,,
2021/5/17 14:58,暖阳花香微风,守得云开见月明，静待花开终有时,230,0,,,,,
2021/5/17 14:44,耙耳朵朵,银行股拉升，抽血效应明显。700先撤了。兄弟们挣钱,469,6,,,,,
2021/5/17 14:03,有锂跑遍天下,很奇怪,231,0,,,,,
2021/5/17 13:26,心情_高涨6538,就知道你必会上千元[大笑][大笑][大笑],315,0,,,,,
2021/5/17 11:24,AgtcA884886A,突破今必创新高，加油！,177,0,,,,,
2021/5/17 5:37,雍人自扰8492,明天会有新高,288,0,,,,,
2021/5/16 19:57,咆哮小小牛,换手偏高，控盘程度稍差，游资热情高涨,223,0,,,,,
2021/5/16 14:42,市场新观察,对比一下吓一跳,385,0,,,,,
2021/5/15 21:46,嘟嘟是大象,昨晚梦见自己变成主力了，把自己持仓的5个票挨个连拉1,296,0,,,,,
2021/5/15 16:35,针尖起舞,极米科技：芯片叉勃子可能提前到来了，不再关注。,678,2,,,,,
2021/5/15 14:25,jiaru7305,没有原创技术的极米，用的是光峰科技专利，就是一个组,668,2,,,,,
2021/5/15 7:44,极米科技资讯,极米科技(688696)融资融券信息(05-14),459,0,,,,,
2021/5/14 22:20,科创创小王子,无量，走人,506,7,,,,,
2021/5/14 19:22,咆哮小小牛,不许超过茅台，差不多就行了,241,0,,,,,
2021/5/14 16:19,yum888888,5月13日极米的融券盘又扩大，融资盘却缩小了。,546,4,,,,,
2021/5/14 14:41,股市的春天888,极米科技:买点再现，介入,1237,10,,,,,
2021/5/14 14:11,论股浅水,极米科技_百度领航 前程似锦 2021年超千元股价票！,1158,14,,,,,
2021/5/14 12:29,Xiu_Bang,6886966就6就很6来,225,0,,,,,
2021/5/14 11:38,暖阳花香微风,666[牛],200,0,,,,,
2021/5/14 11:14,皮股民一个,起飞,189,0,,,,,
2021/5/14 7:53,极米科技资讯,极米科技(688696)融资融券信息(05-13),343,0,,,,,
2021/5/14 0:18,yum888888,极米的融券盘大于融资盘。5月12日收盘，融券资金18280,430,2,,,,,
2021/5/13 21:30,风渡,极米科技，上市后最早站上千元的股票（预计七月前）,1816,10,,,,,
2021/5/13 15:38,萝卜投研,知名公募/私募追踪！隐藏在基金季报及上市公司股东数,9151,2,,,,,
2021/5/13 7:52,极米科技资讯,极米科技(688696)融资融券信息(05-12),358,0,,,,,
2021/5/12 21:54,佐罗大黑马,组合一$中望软件(SH688083)$+$极米科技(SH688696)$。,700,1,,,,,
2021/5/12 19:30,佐罗大黑马,.持仓分析.688083中望软件+$688696极米科技$：中望过5,449,0,,,,,
2021/5/12 15:38,Chiang2,股价前11位，都有机会上千。（中国股市上千股票太少了,317,0,,,,,
2021/5/12 13:16,股友liFKmG7752,京东八百多万人的关注难道还干不过石头三十多万的关注,502,2,,,,,
2021/5/12 12:03,多而滚,明德生物一季度赚3亿多,359,1,,,,,
2021/5/12 10:26,天山的天,早盘已入,208,0,,,,,
2021/5/12 8:49,研值有道,智能投影行业从小众到爆发，这家国货品牌股票已成两市,8749,0,,,,,
2021/5/12 8:00,牛诸仙,极米科技：号召大家今天一起砸！套住社保基金,296,3,,,,,
2021/5/12 7:53,牛诸仙,极米科技：三个月下跌目标位110元,249,1,,,,,
2021/5/12 7:42,极米科技资讯,极米科技(688696)融资融券信息(05-11),285,0,,,,,
2021/5/11 23:30,针尖起舞,淸仓极米,384,3,,,,,
2021/5/11 22:40,智云心安,调整该到位了明天强势反弹,139,0,,,,,
2021/5/11 21:15,觅牛者001,连我这个死多头都投降了，短期不行了,166,0,,,,,
2021/5/11 20:02,牛诸仙,极米科技即将暴跌的第五大理由：一个小家电股，市梦率,245,0,,,,,
2021/5/11 20:00,牛诸仙,极米科技即将暴跌的第四大理由：700元上方社保基金等,322,0,,,,,
2021/5/11 19:55,牛诸仙,极米科技即将连续暴跌的第二大理由：疫情全球严重，国,677,0,,,,,
2021/5/11 19:38,波段战法,机构调研100余家公司，1股获315家机构青睐，业绩增速,4901,1,,,,,
2021/5/11 14:54,白强操盘手,开始杀猪了。,213,1,,,,,
2021/5/11 14:27,牛诸仙,人民币大升值：有效降低了极米科技成本,570,1,,,,,
2021/5/11 13:54,鬼谷谷主温客行,极米科技看空,649,0,,,,,
2021/5/11 13:21,牛诸仙,剔除自选股极米科技：国外疫情与芯片紧缺对公司业务影,273,0,,,,,
2021/5/11 13:08,云588,这股废了,220,0,,,,,
2021/5/11 11:13,马踏飞燕15,闪电换股688007,170,0,,,,,
2021/5/11 10:56,牛诸仙,极米科技：小心大阳线拔地而起,204,1,,,,,
2021/5/11 10:50,针尖起舞,极米科技：农村人口高度城镇化是利好,162,0,,,,,
2021/5/11 10:47,针尖起舞,极米科技：城市人口大增，利好,208,0,,,,,
2021/5/11 10:42,针尖起舞,极米科技：耐心等候30日线买入时机,159,0,,,,,
2021/5/11 10:13,牛诸仙,紧盯下午三点集合性竞价：决定是否买入,156,0,,,,,
2021/5/11 7:47,极米科技资讯,极米科技(688696)融资融券信息(05-10),362,0,,,,,
2021/5/11 6:15,牛诸仙,煤飞色舞今天要凉凉：国际铜、铁矿石期货大跌,164,0,,,,,
2021/5/10 23:10,针尖起舞,极米科技：明天下午三点集合竞价全仓买入,364,1,,,,,
2021/5/10 23:07,极米科技资讯,688696:北京金杜(成都)律师事务所关于成都极米科技股,537,1,,,,,
2021/5/10 22:25,极米科技资讯,极米科技接受244家机构调研,1609,6,,,,,
2021/5/10 21:28,牛诸仙,美元／人民币大幅跳水！美元贬值无底线：十分冇利于极,205,0,,,,,
2021/5/10 20:19,针尖起舞,明天：海底捞月,223,0,,,,,
2021/5/10 20:06,针尖起舞,极米科技：明天下午全仓买,168,0,,,,,
2021/5/10 19:37,牛诸仙,下修买入点550元：说芯片供应的确面临一些紧张！,216,0,,,,,
2021/5/10 19:22,地球告密者,此股净利润率太低不具备牛股特征,176,0,,,,,
2021/5/10 17:33,牛诸仙,242家机构调研极米科技：相同的情形在爱美客、新洁能,346,1,,,,,
2021/5/10 17:31,牛诸仙,低吸极米科技：钢铁、煤炭见顶之曰，即极米崛起之时。,226,1,,,,,
2021/5/10 17:19,针尖起舞,中国民族品牌、新兴国货之光极米科技：对照九号公司、,188,0,,,,,
2021/5/10 16:26,觅牛者001,下周继续加仓,364,3,,,,,
2021/5/10 13:43,皮股民一个,起飞,283,2,,,,,
2021/5/10 11:48,股友z1500C9671,一堆人说我唱空，一群平民懂？,252,1,,,,,
2021/5/10 9:24,极米科技资讯,极米科技:2021年4月投资者调研报告,1304,0,,,,,
2021/5/10 0:00,资讯报道3469,极米科技:2021年4月投资者调研报告,642,0,,,,,
2021/5/9 23:53,天山的天,强力洗盘,410,1,,,,,
2021/5/9 21:10,佐罗大黑马,持仓分析组合二：$688696极米科技$+$688083中望软件$,636,0,,,,,
2021/5/9 18:21,板一字,加快发展超高清视频产业 形成万亿级新兴产业集群,473,0,,,,,
2021/5/9 6:08,天天涨停中,极米极米极米，阿恰阿恰阿恰,275,0,,,,,
2021/5/8 7:57,极米科技资讯,极米科技：连续4日融资净偿还累计2766.42万元（05-07,575,0,,,,,
2021/5/8 3:35,Mayday1987,中签到现在感谢,1088,9,,,,,
2021/5/7 22:46,极米股票首席分析,550探底可抄，看好5.10重回700,697,4,,,,,
2021/5/7 21:14,马踏飞燕15,大盘下跌，同类股极米科技暴跌，688007光峰科技的逆市,619,3,,,,,
2021/5/7 18:12,马踏飞燕15,换688007光峰科技。,316,1,,,,,
2021/5/7 15:28,股友z1500C9671,都跌停了，还说我一天天的唱空,198,0,,,,,
2021/5/7 14:27,太上剑尊,昨天清仓极米，买入光峰科技,391,2,,,,,
2021/5/7 11:16,丿灬李默然,冒个泡，记录一下判断是否准确，极米短期看回调，到20,320,0,,,,,
2021/5/7 9:48,针尖起舞,极米科技：随时长阴下杀,445,3,,,,,
2021/5/7 8:18,东方巴菲特李光东,转发,541,0,,,,,
2021/5/7 7:39,极米科技资讯,极米科技(688696)融资融券信息(05-06),395,0,,,,,
2021/5/6 23:44,东方巴菲特李光东,转发,325,1,,,,,
2021/5/6 19:49,针尖起舞,极米科技：同行竞争大，缺核心技术,284,0,,,,,
2021/5/6 19:40,牛诸仙,极米科技：700元上方高抛,165,0,,,,,
2021/5/6 18:56,佐罗大黑马,周四组合二$极米科技(SH688696)$6$中望软件(SH688083),360,0,,,,,
2021/5/6 17:35,极米科技资讯,极米科技董事长钟波：创业公司研发不能闭门造车 要多,1480,4,,,,,
2021/5/6 14:04,浮木99,公司新产品促销宣传活动,827,6,,,,,
2021/5/6 13:00,我的火柴,卖了极米，主力去达瑞电子，赶快跟主力干，又是大肉来,311,1,,,,,
2021/5/6 10:57,东圳东路999游资,早上提示的买点精准吧[得意],626,4,,,,,
2021/5/6 10:39,迷迷糊糊再世,这是一个阶段吗？真不知道你还要走多长,543,2,,,,,
2021/5/6 10:04,leslie11,目标短期看到700！先到700！到700撤退,428,2,,,,,
2021/5/6 9:30,耙耳朵朵,社保加仓极米科技了！！！牛逼,333,0,,,,,
2021/5/5 20:41,天山的天,洗盘，明天大阳线,232,0,,,,,
2021/5/5 14:14,小船东风,470的货卖不卖,538,1,,,,,
2021/5/5 3:18,小窗风雨碎人肠,为什么会不断的大涨,429,0,,,,,
2021/5/3 15:16,天山的天,700已入，看好,359,3,,,,,
2021/5/2 14:45,中访网财经,极米科技的“光明”与“阴影”,4909,2,,,,,
2021/5/1 15:52,PP333,玩了一圈竟然绿了收盘,427,2,,,,,
2021/5/1 7:58,极米科技资讯,极米科技：融资净偿还952.42万元，融资余额1.77亿元（,642,0,,,,,
2021/5/1 7:05,三精新股狙击手,极米科技：智能投影第一股！计划明天逢低入场,7057,92,,,,,
2021/4/30 16:41,股友M327m93753,我买了极米电视产品，用两年坏两次，还需支付高额的维,799,14,,,,,
2021/4/30 15:10,东圳东路999游资,节后五日线上移，这个就是五日线了,201,0,,,,,
2021/4/30 11:22,天山的天,加油，超过石头,148,0,,,,,
2021/4/30 11:10,高抛低吸8龙精,好庄善庄，散户跟着不离不弃，幸福！有肉！,179,0,,,,,
2021/4/30 10:26,极米科技股友,尊敬的公司领导您好！作为股东非常欣慰公司能取得如此,928,0,,,,,
2021/4/30 10:18,心情_高涨6538,哈哈，千元不是梦，准备950+出了，剩下的给庄赚。,150,0,,,,,
2021/4/30 9:51,极米科技资讯,极米科技：融资净偿还220.25万元，融资余额1.86亿元（,460,1,,,,,
2021/4/30 9:26,股友z1500C9671,这个竞价我怕了,164,0,,,,,
2021/4/30 9:15,股友ph9kHg,好股，就是好股,159,0,,,,,
2021/4/29 21:10,股友一个小散,卖出的后悔不？我不到700元不卖,251,1,,,,,
2021/4/29 17:17,幸福式梦想,极米突飞猛进勇攀高峰,222,0,,,,,
2021/4/29 14:58,吃股通今,未来的科学技术在哪里？？？？股友们有对我关注的，密,159,0,,,,,
2021/4/29 14:15,以戒为师922,大家来看看你们买的极米长什么样？,837,10,,,,,
2021/4/29 12:37,祂永是王,极米极米来吧来吧,655,4,,,,,
2021/4/29 11:30,股友liFKmG7752,锁仓目标1000以上,145,0,,,,,
2021/4/29 11:20,许多杂谈,减持公告同学们，不好意思，因生活需要，减持一部分筹,349,0,,,,,
2021/4/29 11:01,实时更新,快点买，明天还要涨,154,0,,,,,
2021/4/29 10:46,点石暴富地黄忠,这个票的走势会和石头科技一样，放心持有到1500元,156,0,,,,,
2021/4/29 10:25,极米科技股友,增强现实和虚拟现实行业高速发展，请问贵公司是否有涉,297,0,,,,,
2021/4/29 9:54,股友z1500C9671,估计下跌一个点这样子,161,0,,,,,
2021/4/29 8:37,多财为富得逍遥子,有个问题哦，就是卖的时候必须100股为一个单位吗,836,7,,,,,
2021/4/29 3:06,西沙飞沪,这个股牛逼450没有敢下手，还能进吗？,486,7,,,,,
2021/4/28 21:27,老李子铜,明早好望角就可以领钱了，领完就跟你们说拜拜。,183,0,,,,,
2021/4/28 19:59,天津天门股虫,谁知道太古里的裸眼3D大屏是极米科技的产品吗？,516,2,,,,,
2021/4/28 17:06,老刘贵姓,次新股极米科技智能投影龙头,396,0,,,,,
2021/4/28 15:18,Chiang2,中签股，坐等主力拉升！,322,0,,,,,
2021/4/28 14:40,西岭雪1314,未来的千元股机构都在大举买进，业绩大幅增长,298,0,,,,,
2021/4/28 14:13,智云心安,最高境界：无量狂涨，新高不断,219,0,,,,,
2021/4/28 13:48,韭菜根12538,卖掉你，我好后悔[大哭],220,0,,,,,
2021/4/28 13:06,狄拉斯神殿,没有散户的股，随便拉,230,0,,,,,
2021/4/28 11:34,心梦无痕123,没散户了，就是一堆也拉？,179,0,,,,,
2021/4/30 12:28,东圳东路999游资,697加仓了,242,1,,,,,
2021/4/30 10:58,天山的天,看好极米,150,0,,,,,
2021/4/30 10:07,东圳东路999游资,今天又是大阳,154,0,,,,,
2021/4/29 11:48,极米科技资讯,极米科技：目前暂未涉及AR/VR,478,0,,,,,
2021/4/29 11:09,东圳东路999游资,678接,172,0,,,,,
2021/4/29 10:55,高抛低吸8龙精,继续！好股！,140,0,,,,,
2021/4/29 9:56,东圳东路999游资,高点不抛，五日线接，进养老金金，底仓不动,172,0,,,,,
2021/4/29 7:58,极米科技资讯,极米科技：融资余额环比增加32.24%，增幅两市第20（04,311,0,,,,,
2021/4/28 20:34,东圳东路999游资,慢点涨，亲,235,1,,,,,
2021/4/28 11:50,股友z1500C9671,属实吓人,210,0,,,,,
2021/4/28 10:13,高抛低吸8龙精,止盈！留下继续挣！,174,0,,,,,
2021/4/28 9:12,冰火重生518,捷荣技术，业绩增长，小盘加低位，且调整到位，最新公,267,0,,,,,
2021/4/28 7:48,极米科技资讯,极米科技(688696)融资融券信息(04-27),379,0,,,,,
2021/4/27 22:22,蓝鲸财经,极米科技推出RS系列投影，包含4K家用智能投影与便携智,1937,6,,,,,
2021/4/27 21:14,Chiang2,中签股，坐等主力抬轿。,336,1,,,,,
2021/4/27 16:31,tusimply,还有中签持有极米的么？？我来报个到，上了1000再说！,690,5,,,,,
2021/4/27 15:00,在投机中投资,不贪的人有汤喝，虽然没有出在高点，但知足了！咱自己,2574,23,,,,,
2021/4/27 12:35,玉树小风子,2021年一季报视听器材行业排行榜（4-27）,2053,2,,,,,
2021/4/27 10:01,墁墁和淳淳,[图片],483,5,,,,,
2021/4/27 9:42,Dfdg,美利云三力士先河环保,278,0,,,,,
2021/4/27 7:43,极米科技资讯,极米科技(688696)融资融券信息(04-26),334,0,,,,,
2021/4/26 23:35,极米科技资讯,东兴证券维持极米科技强推评级 2020年及2021年一季度,576,1,,,,,
2021/4/26 21:01,走过好望角,提醒一句，这周股评的阅读量太高了，要引起重视……各,468,5,,,,,
2021/4/26 20:12,一路善涨,力帆科技也和百度合作了,280,0,,,,,
2021/4/26 17:59,yum888888,再创新高，一马平川，没有最高，只有更高！,220,0,,,,,
2021/4/26 17:54,股友059E9T3027,看好极米,406,0,,,,,
2021/4/26 15:12,极米科技资讯,2020年及2021年一季度业绩点评：产品渠道举,3687,2,,,,,
2021/4/26 14:53,高抛低吸8龙精,与大盘反方向，继续大涨！庄股！,193,0,,,,,
2021/4/26 12:58,yum888888,一季报超预期，600元之下已难以买到。昨天,954,1,,,,,
2021/4/26 12:14,觅牛者001,那个走过好望角收盘还会唱空的放心吧，太丑,223,1,,,,,
2021/4/26 12:12,XQJXGGD,牛啊卖早了！！！[哭],265,1,,,,,
2021/4/26 11:46,嗡瓦素驮历娑婆呵,热景生物才是真正的价值投资！！！,232,1,,,,,
2021/4/26 11:39,歌癫,这次15元的T做的很爽,184,2,,,,,
2021/4/26 11:25,韭菜根12538,我真是个韭菜，卖了之后暴涨两天[哭],179,0,,,,,
2021/4/26 11:13,大鸿运189,要是本周能到700就好了,167,0,,,,,
2021/4/26 11:09,Chiang2,什么意思？,220,0,,,,,
2021/4/26 11:04,股友M327m93753,史上最昂贵的电视维修费：2019年2月我在广,393,1,,,,,
2021/4/26 10:23,皮股民一个,又抄到底了(o)哇！越涨越涨,158,0,,,,,
2021/4/26 7:07,鱼丸粗面里豆豉,核心资产估值有待时间对冲，新型科技消费布,1116,0,,,,,
2021/4/25 23:07,板一字,极米科技4月27日发布新品RS系列 4900流明 4,658,4,,,,,
2021/4/25 17:35,觅牛者001,看空的那个有本事把我的一千多股市值归零，保证两年内,355,2,,,,,
2021/4/25 15:06,两融追踪,极米科技本周融资净偿还4356.91万元，居电子元件板块,411,0,,,,,
2021/4/25 14:13,觅牛者001,我前面预计下周股价创新高，提前了一点。,516,2,,,,,
2021/4/25 11:27,极米科技资讯,东北证券给予极米科技买入评级 一季度业绩超预期 新产,1174,0,,,,,
2021/4/25 9:58,价值提醒123,千元潜力票/石头科技 极米科技 爱美客 吉比,975,4,,,,,
2021/4/24 22:13,极米科技资讯,688696:极米科技关于增加部分募投项目实施,811,7,,,,,
2021/4/24 17:45,次新骁哥,这个跳空有意思，尾盘买点，冲击800,394,1,,,,,
2021/4/24 16:44,本无,存货越来越高，应付款越来越高，骗子,266,0,,,,,
2021/4/24 7:59,极米科技资讯,极米科技：融资净偿还2476.61万元，融资余,479,0,,,,,
2021/4/24 5:41,堆金满腹的陈家洛,市值应该可以上500亿,254,1,,,,,
2021/4/23 23:34,板一字,2021年4月22日，申万宏源集团股份有限公司,440,0,,,,,
2021/4/23 22:16,股友z1500C9671,今天懂事会收到最新消息，明天极米由于五一,631,7,,,,,
2021/4/23 21:12,资事堂堂主,谁说30亿市值接待不了？傅鹏博、谢治宇、归,2492,0,,,,,
2021/4/23 21:06,极米科技资讯,最新个股研报精选：这只个股获三大机构同时,1721,1,,,,,
2021/4/23 15:26,皮股民一个,还好没卖，小赚221，坐等翻倍,217,0,,,,,
2021/4/23 15:02,飞翔de老鹰,688095福昕软件，世界老二，才240元,254,0,,,,,
2021/4/23 14:29,极米科技资讯,营收净利持续高增长，盈利能力提升,2400,0,,,,,
2021/4/23 13:55,SuperKolin,极米科技 (688696)看多,520,0,,,,,
2021/4/23 13:09,股友r9zBEO,没到750一股不许卖,331,8,,,,,
2021/4/23 11:45,玉树小风子,2020年年报视听器材行业排行榜（4-22）,3501,3,,,,,
2021/4/23 11:24,今年一定火,天高任鸟飞 经营超预期,248,0,,,,,
2021/4/23 11:17,股友z1500C9671,哈哈，627的时候跑路，剩下的发财吧,207,1,,,,,
2021/4/23 10:49,极米科技资讯,德邦证券维持极米科技增持评级：业绩再超预,303,0,,,,,
2021/4/23 10:23,霸气龙腾总舵主,极米科技，一季度业绩快速增长！股价创历史,269,0,,,,,
2021/4/23 10:13,极米股票首席分析,走过好望角不仅没有基础的股票知识，而且人,257,2,,,,,
2021/4/23 9:53,极米科技资讯,安信证券维持极米科技买入评级：内外销齐发,301,0,,,,,
2021/4/23 9:43,股友TsKLbn6044,总感觉有暴风的影子,254,1,,,,,
2021/4/23 9:30,极米科技资讯,国盛证券维持极米科技增持评级：21Q1业绩高,244,0,,,,,
2021/4/23 8:39,极米科技资讯,21Q1业绩高增长，行业红利正当时,2127,0,,,,,
2021/4/23 8:16,牛诸仙,期待极米科技2021年利润破7亿,199,0,,,,,
2021/4/23 8:15,极米科技资讯,极米科技：融资净偿还1099.57万元，融资余,294,0,,,,,
2021/4/23 8:07,针尖起舞,民族品牌极米科技：大疆无人机第二,306,0,,,,,
2021/4/23 8:00,极米科技资讯,极米科技(688696)融资融券信息(04-22),266,0,,,,,
2021/4/23 0:53,极米科技资讯,【图解季报】极米科技：2021年一季度归母净,213,0,,,,,
2021/4/23 0:42,极米科技资讯,2020年净利润大增近两倍 极米科技上市后首,185,0,,,,,
2021/4/22 23:43,极米科技股友,请问贵公司2021年3月31日的持股人数是多少,844,3,,,,,
2021/4/22 23:28,股友M327m93753,2019年2月我在广州市番禺区奥园广场以正价,194,0,,,,,
2021/4/22 23:07,极米科技资讯,亮眼！极米科技：2021年第一季度净利润约89,1557,5,,,,,
2021/4/22 22:40,极米科技资讯,一季度业绩亮眼，看好公司海外业务拓展,3334,0,,,,,
2021/4/22 22:24,走过好望角,极米科技收评……极米今天红盘，一众人欢呼,607,9,,,,,
2021/4/22 20:48,福建总舵主,天那，机构扎堆，业绩爆好,285,0,,,,,
2021/4/22 19:16,佐罗大黑马,持仓分析$极米科技(SH688696)$，622.77之前继续买进。,342,1,,,,,
2021/4/22 19:00,走过好望角,说说极米你套了几个点？,261,2,,,,,
2021/4/22 18:49,极米科技资讯,688696:极米科技2020年年度股东大会会议资料,613,1,,,,,
2021/4/22 17:24,针尖起舞,远超预期，明天开始连续涨停板,244,0,,,,,
2021/4/22 17:21,牛诸仙,一季报再超预期：明天20Cm,216,0,,,,,
2021/4/22 17:12,一句话财报,极米科技：2021年一季度净利润同比增长106.9%,708,0,,,,,
2021/4/22 17:03,极米科技资讯,688696:极米科技关于会计政策变更的公告,311,0,,,,,
2021/4/22 17:03,极米科技资讯,688696:极米科技2021年第一季度报告,1408,0,,,,,
2021/4/22 17:02,极米科技资讯,688696:极米科技2021年第一季度报告正文,1104,0,,,,,
2021/4/22 15:07,民之,中望赶超极米股价20元了，中望优秀,245,1,,,,,
2021/4/22 14:33,针尖起舞,重点监控极米科技的尾盘强弱,180,0,,,,,
2021/4/22 14:27,多财富贵的周瑜,五一前站上650第二季度完站上750第四季度挑战千元,211,0,,,,,
2021/4/22 14:11,牛诸仙,极米科技：随时可能冲锋,138,0,,,,,
2021/4/22 14:03,牛诸仙,极米：今晚一季报，或有利好,132,0,,,,,
2021/4/22 13:56,针尖起舞,极米科技：依托百度的全球化战略布局大幕徐徐拉开,208,1,,,,,
2021/4/22 13:31,针尖起舞,590生命线：过，就追买,160,0,,,,,
2021/4/22 13:16,皮股民一个,749，几天内到,196,0,,,,,
2021/4/22 13:10,yum888888,今天抛盘真大啊！极米科技，公司基本面优异，但因有融,245,0,,,,,
2021/4/22 11:34,民之,中望赶超极米了！,200,1,,,,,
2021/4/22 11:20,福建总舵主,感觉上方挂了一堆假单，骗大家交出筹码,218,1,,,,,
2021/4/22 11:02,牛诸仙,极米科技：2021年千元侯选股，产品体验非常好,156,1,,,,,
2021/4/22 10:59,牛诸仙,极米科技：低吸建仓，以待时变,118,0,,,,,
2021/4/22 10:54,民之,大家要吸取教训，看到研报越多，这股票必跌,154,0,,,,,
2021/4/22 10:09,民之,大家不要听研报的糊说八道，极米没那么好的,200,0,,,,,
2021/4/22 10:03,针尖起舞,极米科技：新经济、新消费、新赛道……,159,0,,,,,
2021/4/22 10:01,针尖起舞,极米科技：今天开始加仓极米,137,0,,,,,
2021/4/22 7:59,极米科技资讯,极米科技：融资净买入335.14万元，融资余额2.3亿元（0,317,0,,,,,
2021/4/22 2:00,哎呀哇靠,@走过好望角 你好像个傻碧啊,225,1,,,,,
2021/4/21 22:00,极米科技资讯,东北证券维持极米科技买入评级：自研光机占比大幅增长,376,0,,,,,
2021/4/21 19:21,海洋一虚竹,极米科技谁买谁赔钱！,147,0,,,,,
2021/4/21 18:00,股友Z0vXGm,“走过好望角”连炒股的基本文化素质都没有，还不让别,340,8,,,,,
2021/4/21 14:47,旎袭者,创新高了再加仓,185,0,,,,,
2021/4/21 14:12,实时更新,快跑，主力一直在出货了,227,1,,,,,
2021/4/21 12:22,极米科技资讯,年归母净利+188%，10送16，光机自研迭代+品,3439,1,,,,,
2021/4/21 11:38,牛诸仙,极米科技：二季度业绩持续高增非常关键！持,322,2,,,,,
2021/4/21 11:35,牛诸仙,极米科技：逢低建仓，以待时变！下半年才是,194,0,,,,,
2021/4/21 11:31,牛诸仙,逢低建仓极米科技,143,0,,,,,
2021/4/21 11:11,针尖起舞,2021千元股极米科技：倒金字塔建仓！570建,226,0,,,,,
2021/4/21 11:11,针尖起舞,极米科技：机会无限,159,0,,,,,
2021/4/21 11:06,针尖起舞,2021千元侯选股极米科技：与大疆无人机的发展模式、理,168,0,,,,,
2021/4/21 11:03,针尖起舞,极米科技：是时侯关注关注！重点观注了！,131,0,,,,,
2021/4/21 7:55,极米科技资讯,极米科技：融资净偿还1600.11万元，融资余额2.27亿元,319,0,,,,,
2021/4/21 5:52,走过好望角,极米科技收评……无量没过前高，一季报环比业绩下滑，,587,15,,,,,
2021/4/20 21:29,走过好望角,极米科技收评和明天建议今天收整理形态，周五进的今天,335,15,,,,,
2021/4/20 16:30,定报披露提示,极米科技预计明日收盘后（周四晚）披露一季报,428,0,,,,,
2021/4/20 15:20,GUO36153,光峰科技的3+1个泡泡4.20日（第16次，始于3.29日）,291,0,,,,,
2021/4/20 15:06,走过好望角,极米科技收评和下周策略周五收阳，调整结束，尾盘建仓,926,46,,,,,
2021/4/20 14:07,tyqing,那个叫好望角的，就是个垃圾，让人家卖，自己周五买进,267,5,,,,,
2021/4/20 11:17,民之,爱美客又要赶超极米了，所以极米这么高价股是没有中长,286,1,,,,,
2021/4/20 10:26,XQJXGGD,高抛低吸可以,145,0,,,,,
2021/4/20 7:57,极米科技资讯,极米科技：融资净买入484.25万元，融资余额2.43亿元（,333,0,,,,,
2021/4/20 6:53,上海方军金融,极米科技，震荡，支撑,180,0,,,,,
2021/4/19 23:49,民之,买上中望就是放心！极米上下折腾，不是散户玩的,274,2,,,,,
2021/4/19 19:29,走过好望角,极米科技收评……今天收整理形态，周五进的今天583.03,394,1,,,,,
2021/4/19 17:26,Dfdg,美利云三力士先河环保,289,0,,,,,
2021/4/19 14:28,祥龙_献瑞,王八羔子，浪费行情,170,0,,,,,
2021/4/19 14:20,暖阳花香微风,万花丛中一点绿[微笑],157,0,,,,,
2021/4/19 10:38,马踏飞燕15,极米科技是向光峰科技688007购买的专利生产的，所以激,385,0,,,,,
2021/4/19 10:37,皮股民一个,451，赚200再说,262,0,,,,,
2021/4/18 18:19,佐罗大黑马,持仓分析$688696极米科技$继续持股,242,0,,,,,
